id;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
51;34;self-employed;single;university.degree;0;1;0;cellular;jul;wed;1;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
52;51;blue-collar;married;basic.4y;0;1;1;telephone;dec;mon;1;999;0;0nexistent;-0.2;92.756;-45.9;3.488;5176.3;0
53;32;entrepreneur;married;basic.6y;0;1;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;0
54;34;management;married;high.school;0;1;0;telephone;aug;mon;7;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;0
55;59;admin.;married;NA;0;0;0;cellular;jun;tue;1;999;0;0nexistent;-2.9;92.963;-40.8;1.262;5076.2;1
57;49;self-employed;married;university.degree;NA;1;1;cellular;0v;fri;1;999;0;0nexistent;-0.1;93.2;-42;4.021;5195.8;0
58;36;self-employed;single;university.degree;0;0;0;cellular;oct;fri;1;999;0;0nexistent;-3.4;92.431;-26.9;0.72;5017.5;1
60;50;admin.;married;university.degree;0;0;0;cellular;0v;mon;1;7;2;success;-3.4;92.649;-30.1;0.714;5017.5;0
61;46;unemployed;married;basic.9y;NA;0;0;cellular;aug;wed;2;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;0
63;59;retired;married;basic.4y;NA;1;1;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
64;45;services;married;high.school;NA;1;1;telephone;aug;thu;2;999;0;0nexistent;1.4;93.444;-36.1;4.964;5228.1;0
65;36;services;single;high.school;0;0;1;cellular;jul;tue;5;999;0;0nexistent;1.4;93.918;-42.7;4.961;5228.1;0
66;38;management;married;university.degree;0;1;0;telephone;may;mon;6;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
67;47;admin.;married;high.school;0;0;0;telephone;may;tue;3;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;1
68;53;technician;married;professional.course;NA;1;1;cellular;aug;wed;2;999;0;0nexistent;1.4;93.444;-36.1;4.964;5228.1;0
69;31;blue-collar;married;basic.9y;0;1;0;telephone;jun;thu;2;999;0;0nexistent;1.4;94.465;-41.8;4.958;5228.1;0
70;41;services;married;high.school;0;1;0;telephone;jun;tue;3;999;0;0nexistent;1.4;94.465;-41.8;4.961;5228.1;0
71;31;blue-collar;single;high.school;0;1;0;cellular;may;wed;1;999;0;0nexistent;-1.8;92.893;-46.2;1.334;5099.1;0
72;45;blue-collar;married;basic.6y;NA;1;0;telephone;jun;thu;1;999;0;0nexistent;1.4;94.465;-41.8;4.866;5228.1;0
74;74;retired;married;university.degree;0;1;0;cellular;oct;fri;2;3;2;success;-1.1;94.601;-49.5;0.993;4963.6;0
75;35;blue-collar;married;basic.9y;0;1;0;cellular;jul;mon;2;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
77;45;unemployed;married;basic.9y;0;1;0;cellular;jun;mon;1;999;1;failure;-2.9;92.963;-40.8;1.266;5076.2;0
78;35;blue-collar;married;basic.9y;0;0;0;telephone;may;tue;3;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
79;32;admin.;single;university.degree;0;0;0;telephone;0v;wed;3;999;0;0nexistent;-0.1;93.2;-42;4.12;5195.8;0
81;29;admin.;married;high.school;0;0;0;telephone;may;tue;2;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;0
82;40;services;married;high.school;NA;0;0;telephone;may;mon;1;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
83;46;technician;divorced;professional.course;NA;1;0;telephone;jun;fri;3;999;0;0nexistent;1.4;94.465;-41.8;4.959;5228.1;0
84;54;admin.;divorced;university.degree;0;0;0;telephone;may;wed;4;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;1
86;41;admin.;married;university.degree;0;1;1;telephone;0v;wed;1;999;0;0nexistent;-0.1;93.2;-42;4.12;5195.8;0
87;23;technician;married;professional.course;0;1;0;cellular;aug;mon;1;3;2;success;-2.9;92.201;-31.4;0.861;5076.2;1
90;25;services;single;high.school;0;1;0;cellular;oct;thu;2;999;0;0nexistent;-3.4;92.431;-26.9;0.733;5017.5;1
92;36;blue-collar;married;basic.9y;0;0;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.859;5191;0
94;31;services;divorced;high.school;0;0;0;cellular;apr;mon;1;999;0;0nexistent;-1.8;93.075;-47.1;1.405;5099.1;0
95;49;blue-collar;married;basic.9y;0;0;0;cellular;may;fri;2;999;0;0nexistent;-1.8;92.893;-46.2;1.313;5099.1;0
97;60;admin.;married;high.school;NA;0;1;cellular;jul;mon;1;999;0;0nexistent;1.4;93.918;-42.7;4.96;5228.1;0
99;56;retired;married;professional.course;0;NA;NA;cellular;oct;thu;1;6;1;success;-3.4;92.431;-26.9;0.733;5017.5;1
100;29;admin.;married;university.degree;0;0;0;cellular;aug;fri;3;999;0;0nexistent;1.4;93.444;-36.1;4.964;5228.1;1
101;27;services;married;high.school;NA;0;0;telephone;jul;fri;1;999;0;0nexistent;1.4;93.918;-42.7;4.959;5228.1;1
102;81;retired;married;basic.9y;0;0;0;cellular;may;mon;2;999;1;failure;-1.8;92.893;-46.2;1.354;5099.1;0
103;32;technician;single;professional.course;0;1;0;cellular;may;fri;3;999;0;0nexistent;-1.8;92.893;-46.2;1.25;5099.1;0
104;27;services;single;high.school;0;0;0;cellular;jul;fri;8;999;0;0nexistent;1.4;93.918;-42.7;4.963;5228.1;0
105;29;admin.;single;university.degree;0;1;0;cellular;aug;thu;1;999;0;0nexistent;1.4;93.444;-36.1;4.963;5228.1;0
106;30;services;married;high.school;0;1;0;telephone;may;fri;3;999;0;0nexistent;1.1;93.994;-36.4;4.864;5191;0
109;38;services;married;high.school;0;0;0;cellular;jul;fri;3;999;0;0nexistent;1.4;93.918;-42.7;4.957;5228.1;0
110;45;admin.;married;high.school;0;0;0;cellular;0v;mon;1;999;0;0nexistent;-0.1;93.2;-42;4.191;5195.8;0
112;37;blue-collar;divorced;professional.course;0;1;0;cellular;0v;thu;1;999;0;0nexistent;-0.1;93.2;-42;4.076;5195.8;0
114;52;retired;married;basic.9y;NA;0;0;telephone;may;thu;7;999;0;0nexistent;1.1;93.994;-36.4;4.86;5191;0
116;73;retired;married;university.degree;0;1;0;cellular;mar;fri;1;999;0;0nexistent;-1.8;92.843;-50;1.531;5099.1;1
117;32;admin.;married;high.school;0;1;1;cellular;jul;thu;22;999;0;0nexistent;1.4;93.918;-42.7;4.968;5228.1;0
118;41;admin.;divorced;basic.6y;0;0;0;telephone;jul;mon;1;999;0;0nexistent;1.4;93.918;-42.7;4.96;5228.1;0
119;30;technician;married;professional.course;0;1;0;cellular;oct;mon;1;6;1;success;-1.1;94.601;-49.5;1.032;4963.6;1
120;33;blue-collar;married;university.degree;0;0;0;telephone;jul;thu;1;999;0;0nexistent;-1.7;94.215;-40.3;0.782;4991.6;0
122;53;entrepreneur;divorced;university.degree;0;0;0;cellular;0v;mon;1;999;0;0nexistent;-0.1;93.2;-42;4.191;5195.8;0
125;38;blue-collar;married;high.school;NA;1;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.858;5191;0
126;34;admin.;married;university.degree;NA;1;0;cellular;aug;wed;1;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;0
127;56;services;married;high.school;0;0;1;cellular;jul;fri;4;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
129;40;unemployed;divorced;high.school;NA;0;0;telephone;may;tue;3;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
132;46;self-employed;married;university.degree;0;1;0;cellular;0v;mon;3;999;0;0nexistent;-0.1;93.2;-42;4.191;5195.8;0
133;41;entrepreneur;divorced;professional.course;0;1;0;cellular;jul;thu;1;999;0;0nexistent;1.4;93.918;-42.7;4.963;5228.1;0
134;49;services;married;basic.6y;0;0;1;cellular;apr;fri;1;999;0;0nexistent;-1.8;93.075;-47.1;1.479;5099.1;0
135;45;management;married;basic.9y;0;0;1;telephone;may;mon;1;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
137;31;technician;married;university.degree;0;0;0;cellular;aug;thu;1;999;0;0nexistent;-2.9;92.201;-31.4;0.873;5076.2;0
138;28;admin.;married;high.school;0;1;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;0
139;56;admin.;married;university.degree;0;1;1;cellular;0v;tue;2;999;0;0nexistent;-0.1;93.2;-42;4.153;5195.8;0
140;35;technician;married;basic.9y;0;1;0;cellular;jul;mon;1;999;0;0nexistent;1.4;93.918;-42.7;4.96;5228.1;0
142;42;services;single;high.school;0;1;0;cellular;may;mon;2;999;0;0nexistent;-1.8;92.893;-46.2;1.244;5099.1;0
143;43;admin.;married;high.school;0;1;0;telephone;jun;fri;15;999;0;0nexistent;1.4;94.465;-41.8;4.959;5228.1;0
144;42;blue-collar;married;basic.4y;NA;1;1;telephone;jul;thu;1;999;0;0nexistent;1.4;93.918;-42.7;4.966;5228.1;0
145;42;technician;single;high.school;0;1;0;telephone;jun;wed;1;999;0;0nexistent;1.4;94.465;-41.8;4.864;5228.1;0
146;48;technician;married;professional.course;0;1;0;telephone;jun;mon;1;999;0;0nexistent;1.4;94.465;-41.8;4.961;5228.1;0
148;28;services;married;high.school;0;0;0;cellular;jul;tue;1;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
150;34;blue-collar;married;NA;0;0;1;cellular;may;wed;2;999;0;0nexistent;-1.8;92.893;-46.2;1.334;5099.1;0
152;42;admin.;married;basic.9y;NA;1;0;cellular;jul;mon;2;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
153;60;retired;married;professional.course;0;1;1;cellular;jul;thu;4;6;2;success;-1.7;94.215;-40.3;0.899;4991.6;0
154;37;blue-collar;married;basic.6y;0;1;0;cellular;oct;thu;4;999;0;0nexistent;-3.4;92.431;-26.9;0.74;5017.5;0
155;49;admin.;divorced;basic.9y;0;1;0;telephone;may;thu;3;999;0;0nexistent;1.1;93.994;-36.4;4.855;5191;0
157;35;blue-collar;married;basic.6y;0;0;0;cellular;may;fri;3;999;1;failure;-1.8;92.893;-46.2;1.25;5099.1;0
161;29;admin.;single;university.degree;0;0;1;cellular;jul;thu;1;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
163;48;admin.;single;high.school;0;1;0;cellular;jul;fri;5;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
164;49;blue-collar;married;high.school;NA;0;1;cellular;aug;thu;1;999;0;0nexistent;1.4;93.444;-36.1;4.963;5228.1;0
166;39;blue-collar;married;basic.4y;0;1;0;cellular;jul;thu;1;999;0;0nexistent;1.4;93.918;-42.7;4.958;5228.1;0
168;35;admin.;married;high.school;NA;1;0;telephone;may;fri;14;999;0;0nexistent;1.1;93.994;-36.4;4.859;5191;0
171;50;management;married;high.school;NA;0;0;telephone;jun;fri;8;999;0;0nexistent;1.4;94.465;-41.8;4.959;5228.1;0
173;51;blue-collar;married;basic.4y;NA;0;0;telephone;may;thu;1;999;0;0nexistent;1.1;93.994;-36.4;4.855;5191;0
174;30;services;single;high.school;0;0;0;cellular;may;thu;2;999;0;0nexistent;-1.8;92.893;-46.2;1.327;5099.1;0
176;55;admin.;married;high.school;0;1;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.858;5191;0
177;35;management;married;university.degree;NA;1;0;cellular;aug;mon;1;999;0;0nexistent;1.4;93.444;-36.1;4.97;5228.1;0
179;56;admin.;married;basic.9y;0;1;0;cellular;apr;thu;2;999;0;0nexistent;-1.8;93.075;-47.1;1.41;5099.1;1
180;45;blue-collar;married;basic.9y;NA;1;0;telephone;may;fri;5;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
181;18;student;single;basic.9y;0;0;0;cellular;dec;thu;2;999;0;0nexistent;-3;92.713;-33;0.712;5023.5;1
183;30;services;married;university.degree;0;NA;NA;cellular;may;mon;1;999;1;failure;-1.8;92.893;-46.2;1.244;5099.1;0
185;24;technician;divorced;professional.course;0;1;0;cellular;apr;fri;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1;0
186;54;admin.;married;high.school;0;1;0;telephone;jun;thu;1;999;0;0nexistent;1.4;94.465;-41.8;4.866;5228.1;0
187;48;admin.;single;high.school;0;0;1;cellular;jul;fri;7;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
188;30;management;single;university.degree;0;1;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.858;5191;0
189;38;blue-collar;married;basic.9y;0;1;0;cellular;oct;mon;3;999;0;0nexistent;-3.4;92.431;-26.9;0.739;5017.5;0
190;31;services;single;high.school;0;1;0;cellular;may;wed;1;999;1;failure;-1.8;92.893;-46.2;1.281;5099.1;0
191;50;self-employed;divorced;university.degree;0;0;0;cellular;0v;thu;4;999;0;0nexistent;-0.1;93.2;-42;4.076;5195.8;0
192;47;admin.;married;high.school;0;0;0;cellular;may;wed;2;999;0;0nexistent;-1.8;92.893;-46.2;1.27;5099.1;0
193;30;admin.;single;university.degree;0;0;0;telephone;jun;thu;1;999;0;0nexistent;1.4;94.465;-41.8;4.958;5228.1;0
196;39;services;married;basic.9y;NA;1;1;telephone;apr;wed;2;999;0;0nexistent;-1.8;93.075;-47.1;1.445;5099.1;0
197;48;management;divorced;university.degree;0;1;0;cellular;0v;wed;1;3;1;success;-3.4;92.649;-30.1;0.716;5017.5;1
198;30;admin.;single;university.degree;0;1;0;telephone;apr;tue;2;999;0;0nexistent;-1.8;93.075;-47.1;1.423;5099.1;0
199;34;management;married;university.degree;0;1;0;telephone;0v;thu;1;999;0;0nexistent;-0.1;93.2;-42;4.076;5195.8;0
200;30;blue-collar;single;professional.course;0;1;0;cellular;0v;tue;2;999;0;0nexistent;-1.1;94.767;-50.8;1.049;4963.6;0
201;30;blue-collar;single;basic.4y;NA;0;0;telephone;may;fri;1;999;0;0nexistent;1.1;93.994;-36.4;4.864;5191;0
202;34;admin.;married;university.degree;0;0;0;cellular;0v;wed;1;999;0;0nexistent;-0.1;93.2;-42;4.12;5195.8;0
204;36;housemaid;married;high.school;0;0;0;telephone;may;fri;1;999;0;0nexistent;1.1;93.994;-36.4;4.864;5191;0
205;32;technician;single;professional.course;0;1;0;cellular;0v;fri;5;999;0;0nexistent;-0.1;93.2;-42;4.021;5195.8;0
206;58;management;divorced;university.degree;0;0;0;telephone;may;thu;7;999;0;0nexistent;1.1;93.994;-36.4;4.86;5191;0
207;28;services;married;basic.9y;0;0;0;cellular;may;tue;3;999;0;0nexistent;-1.8;92.893;-46.2;1.266;5099.1;1
208;42;management;married;university.degree;0;0;1;cellular;aug;tue;3;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;0
209;50;services;married;basic.6y;0;1;0;telephone;may;mon;4;999;0;0nexistent;1.1;93.994;-36.4;4.858;5191;0
210;33;admin.;single;university.degree;0;1;0;cellular;aug;thu;2;999;0;0nexistent;1.4;93.444;-36.1;4.964;5228.1;0
212;35;blue-collar;divorced;basic.6y;0;1;0;cellular;apr;fri;1;999;0;0nexistent;-1.8;93.075;-47.1;1.405;5099.1;0
213;31;technician;single;professional.course;0;1;0;cellular;aug;tue;1;999;0;0nexistent;1.4;93.444;-36.1;4.968;5228.1;0
214;28;admin.;married;university.degree;0;1;0;cellular;aug;wed;1;999;1;failure;-2.9;92.201;-31.4;0.834;5076.2;0
218;34;blue-collar;married;basic.4y;0;0;0;telephone;may;tue;4;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
220;29;admin.;single;university.degree;0;0;1;telephone;jun;wed;1;999;0;0nexistent;1.4;94.465;-41.8;4.864;5228.1;0
221;51;admin.;single;university.degree;0;1;1;cellular;jun;fri;2;999;0;0nexistent;-2.9;92.963;-40.8;1.268;5076.2;0
222;39;blue-collar;married;basic.6y;0;0;0;telephone;may;wed;2;999;0;0nexistent;1.1;93.994;-36.4;4.859;5191;0
223;53;housemaid;married;basic.4y;0;1;0;telephone;may;tue;1;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
225;28;management;married;high.school;NA;0;0;telephone;may;tue;1;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
227;27;services;single;high.school;NA;0;0;cellular;jul;tue;4;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;1
230;39;services;married;high.school;NA;0;0;telephone;jun;fri;9;999;0;0nexistent;1.4;94.465;-41.8;4.959;5228.1;0
231;34;blue-collar;married;NA;NA;1;0;telephone;may;wed;3;999;0;0nexistent;-1.8;92.893;-46.2;1.281;5099.1;1
233;33;services;single;professional.course;0;0;0;telephone;may;thu;1;999;0;0nexistent;1.1;93.994;-36.4;4.855;5191;0
234;36;housemaid;married;basic.6y;0;0;0;cellular;aug;mon;9;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;0
235;37;admin.;single;high.school;0;0;0;cellular;jul;mon;3;999;0;0nexistent;1.4;93.918;-42.7;4.96;5228.1;0
236;31;admin.;married;high.school;0;1;1;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.858;5191;0
237;26;self-employed;married;university.degree;0;0;0;telephone;may;thu;1;999;0;0nexistent;1.1;93.994;-36.4;4.86;5191;0
238;42;technician;divorced;professional.course;0;1;0;cellular;apr;fri;2;999;0;0nexistent;-1.8;93.075;-47.1;1.479;5099.1;0
239;74;retired;married;basic.4y;0;1;0;cellular;jun;mon;1;999;0;0nexistent;-2.9;92.963;-40.8;1.26;5076.2;1
241;48;blue-collar;married;professional.course;0;0;0;telephone;jun;tue;6;999;0;0nexistent;1.4;94.465;-41.8;4.864;5228.1;0
242;53;blue-collar;married;basic.4y;NA;1;0;cellular;apr;mon;2;999;1;failure;-1.8;93.075;-47.1;1.466;5099.1;1
243;46;blue-collar;married;basic.6y;0;1;0;cellular;aug;fri;1;999;0;0nexistent;1.4;93.444;-36.1;4.964;5228.1;0
244;35;admin.;married;university.degree;0;0;0;telephone;may;fri;4;999;0;0nexistent;1.1;93.994;-36.4;4.859;5191;0
247;38;admin.;married;university.degree;0;1;0;cellular;aug;mon;1;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;1
249;50;blue-collar;married;basic.6y;NA;0;0;cellular;may;fri;6;999;0;0nexistent;-1.8;92.893;-46.2;1.313;5099.1;0
252;44;management;married;high.school;NA;1;0;cellular;jul;mon;1;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
253;31;services;divorced;high.school;0;1;1;cellular;0v;mon;1;999;0;0nexistent;-0.1;93.2;-42;4.191;5195.8;0
254;31;admin.;single;university.degree;NA;0;0;cellular;aug;tue;2;999;0;0nexistent;1.4;93.444;-36.1;4.963;5228.1;0
257;48;blue-collar;divorced;basic.4y;NA;1;0;telephone;jun;mon;2;999;0;0nexistent;1.4;94.465;-41.8;4.865;5228.1;0
258;27;admin.;single;university.degree;0;0;0;cellular;sep;thu;3;3;1;success;-1.1;94.199;-37.5;0.879;4963.6;1
259;25;technician;single;professional.course;0;1;0;cellular;jul;mon;2;999;0;0nexistent;1.4;93.918;-42.7;4.96;5228.1;0
260;56;services;single;high.school;0;1;1;cellular;0v;fri;4;999;0;0nexistent;-0.1;93.2;-42;4.021;5195.8;0
262;30;technician;single;university.degree;NA;0;0;cellular;aug;thu;1;999;0;0nexistent;1.4;93.444;-36.1;4.968;5228.1;0
264;53;entrepreneur;married;NA;0;0;0;cellular;0v;wed;2;999;0;0nexistent;-0.1;93.2;-42;4.12;5195.8;0
265;43;management;married;university.degree;0;0;0;cellular;0v;mon;1;999;0;0nexistent;-0.1;93.2;-42;4.191;5195.8;0
266;42;admin.;married;university.degree;0;1;0;cellular;aug;tue;2;999;0;0nexistent;1.4;93.444;-36.1;4.966;5228.1;0
267;38;admin.;married;university.degree;0;0;0;telephone;may;tue;6;999;0;0nexistent;-1.8;92.893;-46.2;1.344;5099.1;0
268;60;retired;married;professional.course;0;0;0;cellular;aug;wed;1;999;0;0nexistent;1.4;93.444;-36.1;4.964;5228.1;0
270;48;admin.;married;university.degree;0;0;0;cellular;dec;mon;2;999;0;0nexistent;-3;92.713;-33;0.717;5023.5;0
271;51;blue-collar;married;basic.6y;0;NA;NA;cellular;may;tue;2;999;0;0nexistent;-1.8;92.893;-46.2;1.344;5099.1;1
273;30;blue-collar;married;basic.6y;0;0;0;telephone;may;mon;4;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
274;53;technician;married;university.degree;NA;1;1;cellular;aug;mon;11;999;0;0nexistent;1.4;93.444;-36.1;4.963;5228.1;0
275;51;blue-collar;married;basic.4y;NA;0;0;cellular;jul;wed;1;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
276;24;technician;married;professional.course;0;1;0;cellular;may;thu;4;999;0;0nexistent;-1.8;92.893;-46.2;1.266;5099.1;0
277;25;admin.;single;university.degree;0;NA;NA;cellular;oct;fri;2;999;0;0nexistent;-3.4;92.431;-26.9;0.739;5017.5;0
278;37;admin.;married;high.school;0;0;1;telephone;may;fri;2;999;0;0nexistent;1.1;93.994;-36.4;4.859;5191;0
279;27;blue-collar;single;basic.4y;0;1;0;cellular;jul;wed;5;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
280;32;NA;married;basic.6y;NA;0;0;telephone;may;tue;2;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;0
281;31;admin.;married;high.school;0;1;0;cellular;may;wed;1;999;0;0nexistent;-1.8;92.893;-46.2;1.281;5099.1;1
282;49;admin.;married;high.school;0;1;0;cellular;apr;thu;2;999;0;0nexistent;-1.8;93.075;-47.1;1.365;5099.1;0
283;56;retired;single;professional.course;NA;1;0;cellular;jul;fri;4;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
284;24;management;single;university.degree;0;0;0;cellular;apr;thu;2;999;0;0nexistent;-1.8;93.075;-47.1;1.41;5099.1;0
286;48;admin.;married;university.degree;0;1;0;cellular;0v;wed;1;999;0;0nexistent;-0.1;93.2;-42;4.12;5195.8;0
287;36;blue-collar;married;basic.9y;NA;0;0;telephone;jun;tue;1;999;0;0nexistent;1.4;94.465;-41.8;4.864;5228.1;0
288;49;blue-collar;single;NA;NA;1;0;cellular;may;fri;1;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1;0
289;31;technician;single;professional.course;0;1;0;cellular;0v;thu;1;999;0;0nexistent;-0.1;93.2;-42;4.076;5195.8;0
290;32;technician;married;university.degree;0;1;0;cellular;aug;tue;3;999;0;0nexistent;1.4;93.444;-36.1;4.968;5228.1;0
